dataset	dpt	mlt	trait	location	Export	Import	SSS
locrisk260.1	LSD	PhyML	country	BG	0	1	-1
locrisk260.1	LSD	PhyML	country	BR	3	1	0.5
locrisk260.1	LSD	PhyML	country	BW	1	6	-0.7142857142857143
locrisk260.1	LSD	PhyML	country	CN	1	1	0
locrisk260.1	LSD	PhyML	country	DE	0	1	-1
locrisk260.1	LSD	PhyML	country	DK	0	1	-1
locrisk260.1	LSD	PhyML	country	ES	1	5	-0.6666666666666666
locrisk260.1	LSD	PhyML	country	ET	1	3	-0.5
locrisk260.1	LSD	PhyML	country	GE	0	1	-1
locrisk260.1	LSD	PhyML	country	IL	0	4	-1
locrisk260.1	LSD	PhyML	country	IN	3	3	0
locrisk260.1	LSD	PhyML	country	KE	1	5	-0.6666666666666666
locrisk260.1	LSD	PhyML	country	MM	0	1	-1
locrisk260.1	LSD	PhyML	country	MW	8	10	-0.1111111111111111
locrisk260.1	LSD	PhyML	country	NG	0	2	-1
locrisk260.1	LSD	PhyML	country	NP	1	1	0
locrisk260.1	LSD	PhyML	country	PK	0	1	-1
locrisk260.1	LSD	PhyML	country	SE	14	7	0.3333333333333333
locrisk260.1	LSD	PhyML	country	SN	0	1	-1
locrisk260.1	LSD	PhyML	country	SO	1	1	0
locrisk260.1	LSD	PhyML	country	TH	0	1	-1
locrisk260.1	LSD	PhyML	country	TZ	0	15	-1
locrisk260.1	LSD	PhyML	country	US	0	2	-1
locrisk260.1	LSD	PhyML	country	UY	0	1	-1
locrisk260.1	LSD	PhyML	country	YE	0	1	-1
locrisk260.1	LSD	PhyML	country	ZA	4	19	-0.6521739130434783
locrisk260.1	LSD	PhyML	country	ZM	61	2	0.9365079365079365
locrisk260.1	LSD	PhyML	region	Eastern Africa	51	5	0.8214285714285714
locrisk260.1	LSD	PhyML	region	Eastern Asia	1	1	0
locrisk260.1	LSD	PhyML	region	Eastern Europe	0	1	-1
locrisk260.1	LSD	PhyML	region	Northern America	0	2	-1
