"Metastates","Degree.Centrality","Indegree.Centrality","Outdegree.Centrality","Betweenness.Centrality","Closeness.Centrality","Source.Hub.Ratio","dataset","mlt"
"OT",6,2,4,1,0.25,0.666666666666667,"locrisk527.2","FastTree"
"PI",4,2,2,0,0.166666666666667,0.5,"locrisk527.2","FastTree"
"SH",6,2,4,1,0.25,0.666666666666667,"locrisk527.2","FastTree"
"SM",3,3,0,0,0.2,0,"locrisk527.2","FastTree"
"MB",5,2,3,0,0.2,0.6,"locrisk527.3","FastTree"
"OT",6,2,4,0.5,0.25,0.666666666666667,"locrisk527.3","FastTree"
"PI",3,2,1,0,0.166666666666667,0.333333333333333,"locrisk527.3","FastTree"
"SH",7,3,4,3.5,0.25,0.571428571428571,"locrisk527.3","FastTree"
"SM",3,3,0,0,0.2,0,"locrisk527.3","FastTree"
"MB",4,2,2,0,0.2,0.5,"locrisk574.1","FastTree"
"OT",6,2,4,3,0.25,0.666666666666667,"locrisk574.1","FastTree"
"PI",3,1,2,0,0.166666666666667,0.666666666666667,"locrisk574.1","FastTree"
"SH",6,3,3,3,0.25,0.5,"locrisk574.1","FastTree"
"SM",3,3,0,0,0.2,0,"locrisk574.1","FastTree"
"MB",4,2,2,0,0.2,0.5,"locrisk574.2","FastTree"
"OT",5,1,4,2,0.25,0.8,"locrisk574.2","FastTree"
"PI",2,1,1,0,0.166666666666667,0.5,"locrisk574.2","FastTree"
"SH",6,3,3,5,0.25,0.5,"locrisk574.2","FastTree"
"SM",3,3,0,0,0.2,0,"locrisk574.2","FastTree"
"MB",4,2,2,0,0.2,0.5,"locrisk574.3","FastTree"
"OT",5,1,4,2,0.25,0.8,"locrisk574.3","FastTree"
"PI",2,1,1,0,0.166666666666667,0.5,"locrisk574.3","FastTree"
"SH",6,3,3,5,0.25,0.5,"locrisk574.3","FastTree"
